137,606	146,594	134,753	0	130,005
138,157	145,328	134,849	0	127,055
137,901	145,69	134,335	0	128,947
137,536	146,397	134,618	0	127,639
138,185	146,337	134,779	0	130,784
138,082	146,256	134,717	0	130,501
134,412	145,471	134,277	0	127,055
137,718	145,83	134,717	0	128,947
138,26	145,97	134,912	0	129,931
138,082	146,256	134,717	0	130,857
138,435	146,397	134,52	0	128,568
138,074	145,127	134,615	0	128,167
135,7	146,539	134,717	0	127,994
134,706	145,97	134,717	0	127,994
134,543	146,196	134,208	0	130,041
134,893	146,051	134,975	0	128,674
137,561	145,572	134,357	0	127,84
138,005	145,492	134,678	0	129,062
137,901	145,69	134,431	0	128,947
138,435	146,256	135,238	0	128,756
137,639	145,771	134,299	0	128,674
135,066	146,397	134,912	0	130,857
134,893	146,051	134,975	0	129,847
135,298	145,83	135,125	0	129,343
138,082	146,111	134,912	0	128,384
137,901	146,397	134,717	0	128,947
136,92	145,91	134,492	0	129,454
137,411	146,446	134,945	0	130,379
137,272	145,771	134,582	0	130,957
137,528	145,964	134,615	0	127,632
134,754	145,19	134,47	0	126,081
138,15	145,465	134,845	0	127,206
138,334	146,458	134,953	0	126,901
137,614	145,053	134,47	0	126,901
138,576	146,377	135,103	0	128,359
134,873	146,458	135,061	0	128,072
136,052	145,889	134,757	0	127,213
138,232	146,377	135,103	0	128,544
134,754	145,61	134,371	0	127,055
133,696	142,831	133,869	133,727	118,133
132,971	133,998	137,444	134,576	116,995
132,831	133,674	137,009	134,825	115,553
132,993	133,455	137,327	134,899	116,821
132,934	133,398	136,994	134,941	114,139
132,121	132,342	136,557	134,121	116,384
138,127	148,932	134,512	0	128,641
135,776	149,41	134,648	0	128,494
136,162	149,495	134,805	0	128,6
135,859	149,043	134,609	0	128,019
135,33	150,121	134,827	0	128,625
136,184	149,217	135,409	0	128,043
135,046	148,851	134,409	0	126,007
135,966	150,056	134,89	0	128,922
135,678	149,901	134,89	0	128,151
135,277	149,901	134,89	0	127,283
135,405	148,261	134,498	0	126,132
135,502	148,364	134,861	0	128,279
135,678	149,152	134,498	0	126,811
134,02	137,824	134,167	138,158	114,873
134,909	134,851	133,38	133,534	123,191
135,319	134,637	133,47	134,321	121,821
133,232	134,161	132,254	133,152	118,923
134,704	136,885	132,586	133,891	120,074
134,855	135,024	133,49	136,758	128,808
133,006	136,502	132,299	134,24	127,312
133,145	136,595	132,605	134,185	125,882
132,431	135,291	132,214	133,12	125,357
133,478	137,086	132,817	134,405	127,815
136,798	135,307	138,567	0	145,226
134,336	145,114	137,335	0	126,13
135,114	145,771	137,9	0	125,159
136,652	145,967	137,592	0	126,684
136,391	145,767	137,556	0	127,074
136,368	146,596	137,757	0	127,052
135,776	145,767	137,067	0	125,52
135,551	145,682	138,09	0	124,61
136,139	146,682	138,449	0	126,832
136,034	146,295	136,956	0	125,937
136,298	146,535	138,576	0	126,832
136,195	146,59	137,537	0	126,737
135,986	146,108	138,576	0	125,898
132,116	135,403	133,547	0	125,323
131,488	134,166	132,84	0	124,881
131,304	134,545	132,834	0	125,328
131,275	135,491	133,346	0	124,647
129,46	135,05	130,897	0	124,301
130,268	133,961	131,858	0	124,051
131,469	137,053	132,476	0	124,877
131,38	134,535	132,921	0	124,948
131,117	134,341	132,652	0	124,877
131,923	134,847	133,278	0	124,804
131,305	134,263	132,407	0	124,613
131,56	134,249	132,305	0	124,954
131,704	134,304	132,708	0	125,064
132,354	134,419	132,717	0	125,775
131,098	133,854	132,023	0	124,452
131,668	134,762	132,056	0	124,686
131,273	133,949	132,023	0	125,012
131,453	134,14	132,202	0	124,215
132,557	134,826	132,998	0	125,396
132,596	134,978	132,943	0	125,62
132,03	134,657	132,5	0	125,517
131,357	134,821	132,107	0	124,524
131,505	136,305	132,344	0	124,706
133,64	136,382	135,793	0	124,73
133,458	135,898	137,398	0	119,455
133,259	133,97	137,864	0	121,953
133,763	134,064	137,864	0	122,734
132,481	133,608	137,751	0	117,915
134,179	134,667	138,279	0	119,412
134,232	137,34	137,23	0	121,712
133,986	137,037	135,28	0	122,668
134,13	137,128	137,23	0	120,218
134,191	137,037	138,017	0	122,105
134,088	137,037	137,427	0	120,966
133,974	134,469	138,006	0	121,363
133,537	135,598	137,558	0	116,77
133,64	136,721	137,865	0	120,25
134,039	134,229	138,347	0	121,236
134,217	134,395	138,439	0	120,034
135,401	135,04	139,503	0	123,875
133,899	134,387	138,555	0	122,034
134,336	134,395	138,806	0	121,832
133,674	133,817	138,268	0	120,59
133,978	136,372	137,906	0	121,907
134,285	134,366	138,394	0	122,907
134,393	134,567	137,764	0	122,907
134,336	135,548	135,551	0	123,172
134,112	134,787	135,302	0	120,134
133,338	135,839	135,58	0	119,017
134,178	133,812	135,499	0	120,879
134,254	134,629	135,585	0	120,563
134,371	134,337	138,207	0	122,541
134,802	134,147	135,924	0	121,159
133,844	137,087	138,715	0	122,758
134,047	134,93	137,481	0	121,36
134,119	137,204	137,801	0	115,401
134,188	137,323	135,943	0	116,942
135,071	134,966	137,902	0	116,744
133,918	135,002	137,54	0	112,335
134,436	134,703	137,762	0	116,293
132,997	135,982	135,482	0	113,722
134,355	134,44	137,977	0	114,465
134,261	134,354	136,023	0	112,985
133,898	134,394	135,766	0	115,706
133,886	134,196	137,687	0	116,186
133,989	137,269	135,377	0	114,515
133,287	134,289	135,893	0	113,62
134,39	134,77	135,893	0	114,91
135,065	135,073	139,256	0	115,4
134,091	134,572	138,012	0	115,891
133,122	133,307	135,653	0	114,935
134,635	134,886	135,942	0	115,415
133,377	0	137,427	148,405	115,132
134,561	0	135,327	149,037	114,958
134,693	0	129,708	136,481	123,432
139,44	0	148,52	142,704	146,562
142,081	0	144,502	155,347	129,876
142,736	0	149,998	153,894	128,871
143,683	0	150,43	153,991	130,539
143,214	0	150,383	153,664	128,177
142,804	0	149,608	152,95	127,667
142,84	0	149,655	153,722	127,211
142,893	0	149,88	153,196	127,12
142,666	0	150,105	153,4	128,439
143,034	0	148,93	154,349	128,153
142,195	0	150,357	153,342	127,452
142,859	0	151,463	153,75	127,097
142,384	0	150,584	152,816	129,788
143,428	0	150,165	153,888	129,861
142,666	0	149,946	152,369	126,875
143,433	0	149,533	153,75	129,484
142,946	0	150,584	154,264	130,353
142,946	0	149,946	153,836	128,256
143,522	0	148,839	152,816	128,439
142,806	0	149,467	153,4	129,012
122,093	0	63,976	132,054	111,221
141,411	0	151,158	156,816	128,527
141,786	0	149,721	157,118	129,121
141,427	0	150,264	156,888	132,149
142,022	0	150,171	156,954	130,063
141,39	0	149,92	156,557	130,503
141,71	0	150,624	156,621	128,87
141,439	0	149,507	157,225	130,22
142,073	0	148,19	157,319	125,786
141,8	0	148,654	156,71	126,026
142,21	0	149,127	156,557	126,703
141,616	0	148,286	156,961	125,526
142,022	0	148,904	157,251	125,739
142,435	0	149,061	157,251	127,424
141,427	0	148,369	157,026	126,172
141,972	0	148,369	157,184	124,902
141,025	0	148,061	157,026	124,902
141,378	0	148,304	157,59	125,441
142,195	0	148,93	157,118	125,542
142,033	0	149,053	156,789	125,853
142,145	0	147,171	157,207	125,716
141,872	0	149,334	157,053	127,719
141,872	0	148,553	157,521	126,461
141,553	0	148,955	157,141	125,561
